ngram,frequency
suitable generalization,1
coherence space,1
associated double order,1
double order structure,1
double order,1
order structure,1
large rectangle,1
such tiling,1
planar graph,1
ordinary singular chain,1
fundamental group,1
Grossman fundamental group,1
new version,1
corresponding full subcategorie,1
adequate algebraic model,1
various rank,1
weak limit,1
standard technique,1
composite vy,1
adjoint string,1
glueing functor,1
classical glueing theorem,1
classical glueing,1
glueing theorem,1
open subtopos,1
closed complement,1
glueing analysis,1
simple form,1
important property,1
partial algebra,1
total operation,1
analogous description,1
countable coproduct specification,1
countable coproduct,1
coproduct specification,1
multipresentable category,1
finite colimit specification,1
finite colimit,1
colimit specification,1
compatible action,1
module category,1
trivial Chu category,1
biclosed monoidal category,1
cofree object,1
normal subgroup,1
second homotopy module,1
second homotopy,1
homotopy module,1
certain homotopy pushout,1
discrete group,1
par fragment,1
several new situation,1
new situation,1
noncommutative logic,1
noncommutative version,1
essential difference,1
certain tensorial strength,1
tensorial strength,1
FILL category,1
appropriate categorical structure,1
MIX rule,1
corresponding categorical structure,1
general coherence theorem,1
general coherence,1
lax operad action,1
operad action,1
familiar coherence result,1
familiar coherence,1
many new one,1
e_∞ ring,1
lax module,1
such ring,1
a_∞ ring,1
infinite loop space,1
infinite loop,1
pure relational language,1
relational language,1
same first order,1
first order sentence,1
order sentence,1
finite model,1
definable predicate,1
such case,1
infinite model,1
sophisticated proof,1
faithful adjoint string,1
adjoint string dd,1
string dd,1
invertible counit,1
general pseudomonad,1
simplicial commutative algebra,1
degenerate element,1
n^th term,1
certain pairing,1
generic separable object,1
separable object,1
analogous construction,1
boolean algebra structure,1
direct image,1
certain map,1
inverse image map,1
inverse image,1
image map,1
variational characterization,1
riemannian metric,1
free simplicial group,1
crossed module,1
suitable construction datum,1
suitable construction,1
construction datum,1
crossed complex,1
similar freeness result,1
similar freeness,1
freeness result,1
simplicial group,1
commutator subgroup,1
partial result,1
quadratic module,1
extensional object,1
coreflective dual,1
arrow equipment,1
such familiar construct,1
familiar construct,1
\pro \k,1
suitable category \k,1
category \k,1
related construct,1
suitable monoidal category,1
monoidal category \v,1
category \v,1
arbitrary functor,1
equipment arrow \rel,1
equipment arrow,1
arrow \rel,1
\spn \el,1
arbitrary monoidal functor,1
monoidal functor \v,1
functor \v,1
equipment \m,1
detailed analysis,1
detailed study,1
simple characterization,1
suitable base category,1
suitable base,1
particular attention,1
simplicial diagram,1
various form,1
several kind,1
abstract cell complex,1
abstract cell,1
pasting scheme,1
axiomatic treatment,1
geometric structure,1
important example,1
CW complex,1
familiar such category,1
compact lie group,1
compact lie,1
lie group,1
good equivariant cohomology,1
equivariant cohomology theory,1
equivariant cohomology,1
cohomology theory,1
full strength,1
equivariant universal coefficient,1
primary purpose,1
abstract possibility,1
similar misbehavior,1
global Mackey functor,1
homological misbehavior,1
Mackey functor category,1
similar problem,1
other functor category,1
other functor,1
monoidal closed structure,1
group algebra,1
topological Hausdorff group,1
Hausdorff group,1
continuous representation,1
Hausdorff group,1
convergence relation,1
ultrafilter functor,1
strict natural transformation,1
unit law,1
possible structure,1
symmetric double category,1
connection pair,1
full proof,1
symmetric double category,1
useful category,1
mixed abelian group,1
new category,1
nonsplitting mixed group,1
mixed group,1
new description,1
certain topos,1
infinitary generalization,1
classical description,1
discrete conduch&amp;eacute fibration,1
conduch&amp;eacute fibration,1
new tensor product,1
new tensor,1
essential way,1
bi)closed structure,1
paper certain proof,1
certain proof,1
theoretic technique,1
correctness criterion,1
sided proof net,1
sided proof,1
commutative setting,1
net equivalence,1
considerable sharpening,1
previous coherence result,1
previous coherence,1
certain restriction,1
epimorphic extension,1
commutative ring theory,1
Lawvere theory,1
monoidal biclosed category,1
biclosed category,1
regular cardinal,1
pseudo map,1
numerical function,1
contravariant functor,1
series expansion,1
Stirling function,1
such serie,1
concrete test,1
type term constructor,1
type term,1
term constructor,1
lambda calculus,1
surjective pairing,1
product type,1
conditional equation,1
Mal’cev operator,1
order primitive recursion,1
primitive recursion,1
following fact,1
primitive recursor,1
strong normalization,1
coherence problem,1
cartesian closed category,1
strong natural number,1
following computational paradigm,1
computational paradigm,1
endomorphism monoid,1
categorical foundation,1
Interaction series,1
inverse semigroup theory,1
other categorical structure,1
compact closedness,1
dynamical algebra,1
comprehensive approach,1
⋆-autonomous category,1
main tool,1
main conclusion,1
extensional Chu object,1
Chu object,1
equational category,1
distinct subcategorie,1
uniform algebra,1
compact topological space,1
enumerable subset,1
euclidean principle,1
existential quantifier,1
lattice dual,1
Phoa principle,1
synthetic domain theory,1
synthetic domain,1
proper map,1
euclidean property,1
discrete object,1
simplicial language,1
fundamental homotopy,1
homotopy theoretical construction,1
theoretical construction,1
cylinder object,1
right homotopy relation,1
right homotopy,1
homotopy relation,1
simplicial identity,1
simplicial description,1
suspension functor,1
bicategorical property,1
static module,1
solution manifold,1
stable submanifold,1
differential equation,1
smooth topo,1
topos theorist,1
filter ring,1
standard solution,1
regular epireflective subcategorie,1
epireflective subcategorie,1
small sum,1
wise tensor product,1
wise tensor,1
canonical orbit,1
discrete group,1
integral domain,1
modular variety,1
intrinsic meaning,1
normal functor,1
exact conservative functor,1
conservative functor,1
slice category,1
affirmative answer,1
only case,1
empty graph,1
small class,1
such colimit,1
conical colimit,1
small class,1
large one,1
last case,1
balanced monoidal category,1
corresponding structure,1
compatible antipode,1
sylleptic monoidal bicategory,1
nonequivalent concept,1
Tierney theorem,1
arbitrary relational sum,1
atomic Dedekind category,1
suitable basis,1
full proper subcategory,1
integral object,1
heterogeneous relation algebra,1
heterogeneous relation,1
relation algebra,1
side condition,1
new finding,1
particular subtopos,1
small coproduct,1
full distributive embedding,1
distributive embedding,1
distributive preorder,1
universal closure operator,1
universal closure,1
conceptual proof,1
local cartesian closure,1
cartesian closure,1
pseudo equivalence relation,1
pseudo equivalence,1
category cat,1
other characterization,1
enriched sheaf theory,1
enriched sheaf,1
sheaf theory,1
convenient viewpoint,1
finite loop space,1
finite loop,1
recent year,1
necessary tool,1
algebraic topologist,1
current article,1
relaxed introduction,1
topological context,1
familiar example,1
fold loop space,1
fold loop,1
cartesian closed extension,1
closed extension,1
full subconstruct,1
concrete functor,1
infinitary exact completion,1
weak small limit,1
small limit,1
essential localization,1
left exact root,1
exact root,1
congruence distributive property,1
distributive property,1
trivial internal group,1
internal group,1
previous property,1
broad collection,1
small colimit,1
unary algebra,1
exact set,1
Commutator theory,1
internal categorical structure,1
congruence modular variety,1
modular variety,1
combinatorial property,1
negative corner,1
new homology theory,1
reduced branching homology,1
reduced branching,1
reduced theory,1
precubical set,1
invariance result,1
finitary variety,1
algebraic exactness,1
same group,1
topological subgroup,1
finite cardinal,1
symmetric analogue,1
relevant category,1
classical one,1
universal symmetric monoid,1
symmetric monoid,1
suitable relation,1
finite disk,1
unique composite,1
key ingredient,1
suitable schizophrenic object,1
globular set,1
important role,1
hereditary quotient map,1
hereditary quotient,1
universal quotient map,1
stable quotient map,1
stable quotient,1
quotient map,1
free completion,1
colimit completion,1
further example,1
nonempty set,1
closed subset,1
additional compactness condition,1
additional compactness,1
compactness condition,1
exact Maltsev category,1
dimensional Postnikov complex,1
Postnikov complex,1
dimensional Postnikov complex,1
Postnikov complex,1
exact horn,1
composable pair,1
other extreme,1
Kan complex,1
Kan condition,1
alternation hierarchy problem,1
hierarchy problem,1
different type,1
basic lattice operation,1
basic lattice,1
lattice operation,1
classical property,1
classical result,1
usual Barr exactness,1
Barr exactness assumption,1
Barr exactness,1
exactness assumption,1
Hurwitz action,1
certain path groupoid,1
certain path,1
path groupoid,1
universal ramified cover,1
ramified cover,1
cosheaf space,1
certain order structure,1
certain order,1
order structure,1
Artin group,1
invariant action,1
invariant linear ordering,1
linear ordering,1
Dehornoy ordering,1
identity element,1
classical Artin representation,1
Artin representation,1
generalized domain,1
certain presheaf topos,1
Scott complete category,1
dense inclusion,1
lower powerdomain,1
generalized upper powerdomain,1
upper powerdomain construction,1
upper powerdomain,1
respective result,1
coherent domain,1
possible notion,1
accessible category,1
generalized domain,1
classifying space,1
complete rewrite system,1
complete rewrite,1
rewrite system,1
many practical case,1
practical case,1
ordinary functor,1
\v -category,1
large end,1
related right adjoint,1
related right,1
right adjoint,1
explicit expression,1
large limit,1
new representation,1
general endofunctor,1
abelian sheaf cohomology,1
abelian sheaf,1
sheaf cohomology,1
Cech cohomology,1
vague property,1
cofibre sequence,1
certain object,1
homotopical homology,1
unified proof,1
Ulmer duality,1
Rosicky duality,1
Morita duality,1
Laplace operator,1
riemannian manifold,1
main new aspect,1
new aspect,1
second neighbourhood,1
second order,1
order differential operator,1
differential operator,1
new neighbourhood,1
compatible simplicial model,1
simplicial localization,1
suitable model,1
opmonoidal functor,1
monadic arrow,1
split epimorphism,1
triple morphism,1
free functor,1
multiplicative fragment,1
commutative logic,1
such structure,1
structure entropic category,1
several method,1
first model,1
partial bimonoid,1
entropic version,1
excellent framework,1
entropic Hopf algebra,1
entropic Hopf algebra,1
entropic category,1
Krein reconstruction theorem,1
Krein reconstruction,1
reconstruction theorem,1
subspace topology,1
locale theory,1
abstract sobriety,1
normalisation theorem,1
simple way,1
coreflective full subcategory,1
above result,1
coreflective category,1
discrete dynamical system,1
dynamical system,1
Stone representation,1
cyclic flow,1
boolean flow,1
attractive fixpoint,1
repulsive fixpoint,1
logistic equation,1
privileged direction,1
traffic network,1
time model,1
directed homotopy theory,1
directed homotopy,1
non reversible homotopie,1
reversible homotopie,1
basic construct,1
mapping cone,1
homotopy fibre,1
fibre sequence,1
computational value,1
new definition,1
elementary category theory,1
elementary category,1
lattice structure,1
standard lattice,1
theoretic definition,1
general recursion,1
basic categorical construction,1
categorical construction,1
computational effect,1
new denotational value,1
denotational value,1
sober space,1
general topology,1
new axiom,1
Goguen category,1
suitable categorical description,1
categorical description,1
complete brouwerian lattice,1
brouwerian lattice,1
Goguen category,1
suitable binary function,1
binary function,1
scalar element,1
abstract counterpart,1
such injectivity class,1
such injectivity,1
injectivity class,1
pure subobject,1
geometric theory,1
technical characterization,1
axiomatizable class,1
pure morphism,1
cauchy complete object,1
complete object,1
sided enrichment,1
reversibility notion,1
sided enrichment,1
cauchy completion,1
reversible left adjoint,1
sided enrichment,1
reversible bicategorie,1
reversible complete enrichment,1
complete enrichment,1
chain functor,1
general colocalization process,1
general colocalization,1
colocalization process,1
chain functor,1
mere natural isomorphism,1
cut elimination,1
Whitman theorem,1
free such category,1
arbitrary base category,1
base category,1
nice illustration,1
basic technique,1
categorical proof theory,1
proof theory,1
theoretic approach,1
player input,1
output game,1
perfect map,1
other recent approach,1
recent approach,1
direct construction,1
internal locale,1
long exact sequence,1
term exact sequence,1
Lie algebra homology,1
algebra homology,1
ground ring,1
nonnegative integer,1
hopf formula,1
third homology,1
relative extension,1
Lie epimorphism,1
relative homology,1
attribute idea,1
graphical technique,1
design process,1
natural environment,1
categorical notion,1
sum sketch,1
terminal node,1
appropriate class,1
EA sketch,1
lextensive category,1
lextensive category,1
same sketch,1
certain object,1
query language,1
geometric notion,1
thin square,1
cubical nature,1
globular nature,1
convenient tool,1
many people,1
chatty bibliography,1
codescent morphism,1
strong amalgamation property,1
strong amalgamation,1
associative ring,1
commutative quasi,1
Steiner quasi,1
medial quasi,1
decomposable functor,1
general exponential principle,1
symmetric monoidal completion,1
monoidal completion,1
combinatorial identity,1
specific property,1
various characterization,1
certain characterization,1
simple characterization,1
recognizable forest,1
syntactic congruence,1
decomposition result,1
"set t([m],[0",1
finite union,1
final bicategory,1
such module,1
codomain bicategory,1
simple construction,1
local colimit,1
lax natural transformation,1
oplax natural transformation,1
new sort,1
faithful homomorphism,1
cell component,1
module bicategory,1
opetopic set,1
type condition,1
first step,1
synthetic theory,1
wave equation,1
partial topo,1
local topos,1
key example,1
finite tree,1
local topos,1
usual exactness property,1
usual exactness,1
partial topos,1
inverse limit construction,1
inverse limit,1
limit construction,1
several appropriate category,1
appropriate category,1
reduced commutative ring,1
cr -epimorphism,1
general space,1
proconstructible set,1
continuous lattice,1
theoretical hypothesis,1
precontinuous category,1
continuous category,1
homotopy classification,1
appropriate treatment,1
product construction,1
several algebraic context,1
algebraic context,1
precise classification theorem,1
precise classification,1
equivariant extension,1
Clifford system,1
equivariant Azumaya algebra,1
Azumaya algebra,1
specialized classification,1
adequate system,1
factor set,1
product projection,1
basic invariance theorem,1
basic invariance,1
invariance theorem,1
ary term,1
binary term,1
n+1)-ary term,1
simplicial nerve,1
different information,1
dimensional automaton,1
composition law,1
uninteresting situation,1
new nerve,1
globular nerve,1
same simplicial homology,1
simplicial homology,1
such framework,1
latter conjecture,1
thin element conjecture,1
element conjecture,1
formal Wirthmuller isomorphism,1
Wirthmuller isomorphism theorem,1
isomorphism theorem,1
other example,1
formal Grothendieck isomorphism,1
Grothendieck isomorphism theorem,1
Grothendieck isomorphism,1
many context,1
categorical discussion,1
classical framework,1
bicategorical case,1
bicategorical level,1
obvious notion,1
lax transformation,1
possible resolution,1
cell level,1
promising direction,1
technical issue,1
ordinary bicategorical setting,1
bicategorical setting,1
such composite,1
cell isomorphism,1
cell composition,1
poly notion,1
new poly,1
appropriate linear sense,1
linear sense,1
representable poly,1
special property,1
many application,1
quasigroup isotopie,1
way homotopie,1
categorical quasigroup model,1
categorical quasigroup,1
quasigroup model theory,1
quasigroup model,1
multiplication map,1
various version,1
detailed introduction,1
weak monoidal category,1
specified weak inverse,1
coherent one,1
quick way,1
group cohomology,1
simple Lie group,1
Lie group,1
identity object,1
Simons theory,1
category 2vect,1
linear natural transformation,1
symmetric bilinear functor,1
bilinear functor,1
Jacobi identity,1
trilinear natural transformation,1
certain law,1
Zamolodchikov tetrahedron equation,1
Zamolodchikov tetrahedron,1
tetrahedron equation,1
term l_∞-algebras,1
Lie algebra cohomology,1
algebra cohomology,1
dimensional Lie algebra,1
parameter family,1
double powerlocale,1
lower powerlocale construction,1
lower powerlocale,1
powerlocale construction,1
exponential s^x,1
Sierpinski locale,1
exponential s^(s^x,1
exponential s^w.,1
geometric reasoning,1
geometricity result,1
locale presentation,1
latter definition,1
Kelly factorization theorem,1
Kelly factorization,1
factorization theorem,1
concrete category,1
strict analogue,1
coherent associator,1
symmetric case,1
recursive definition,1
dimensional enrichment,1
initial section,1
closed embedding,1
related preservation theorem,1
related preservation,1
preservation theorem,1
relational variable set,1
variable set,1
dynamic set,1
Moore category,1
recent notion,1
size restriction,1
finite diagram,1
fashion notion,1
left covering,1
internal logic,1
site structure,1
uniform manner,1
such completion,1
unpublished work,1
completion process,1
weak finite limit,1
finite limit property,1
limit property,1
full explanation,1
other part,1
dimensional algebra,1
natural language,1
simplicial approximation technique,1
approximation technique,1
simplicial approximation result,1
approximation result,1
cotriple homology theory,1
cotriple homology,1
abelian version,1
Stammbach sequence,1
group homology,1
several exact sequence,1
kernel pair,1
regular epi,1
last property,1
many effective descent,1
respective full subcategory,1
generic morphism,1
parametric representation,1
enumerative combinatorics,1
dimensional category theory,1
dimensional category,1
Batanin approach,1
Joyal specie,1
monoidal object,1
universal construction,1
many corollary,1
useful result,1
ccd lattice characterization,1
ccd lattice,1
lattice characterization theorem,1
lattice characterization,1
unsolved problem,1
classifying topo,1
axiomatic arithmetic,1
finite combinatorial topos,1
combinatorial topos,1
simple distinction,1
finite automaton,1
preserving morphism,1
single object,1
original prop,1
compatibility condition,1
coalgebra structure,1
invertible distributive law,1
positive cone,1
structural cube,1
additional information,1
noncommutative topology,1
noncommutative geometry,1
metric aspect,1
such similarity,1
same classification,1
irrational rotation,1
abelian monadic category,1
monadic category,1
protomodular quasimonadic category,1
quasimonadic category,1
protomodular quasivarietie,1
braided categorical group,1
coherent left action,1
dimensional vision,1
cohomology group,1
several different context,1
lax rel,1
lax monad,1
bicategory mat(v,1
appropriate framework,1
von Neumann axiom,1
Neumann axiom,1
brown representability,1
finite spectrum,1
large signature,1
presentable collection,1
quotient algebra,1
arbitrary endofunctor,1
surprising example,1
class \q,1
absolute weight,1
Isbell adjunction,1
new Morita theorem,1
Morita theorem,1
nonstandard method,1
modern algebraic geometry,1
nonstandard construction,1
many categorical property,1
generalized metric space,1
metric map,1
upper real,1
distance law,1
triangle inequality,1
formal ball,1
flat left module,1
left module,1
netwise form,1
expansive function,1
precise concept,1
axiomatic way,1
infinitary algebraic theory,1
concrete geometrical category,1
topological geometrical category,1
natural endotransformation,1
"functor act(-,x",1
abelian theory,1
simple necessary condition,1
simple sufficient condition,1
amalgamation property,1
wide supply,1
algebraic example,1
particular evidence,1
Jibladze descent theorem,1
Jibladze descent,1
unital commutative quantale,1
commutative quantale,1
certain lax extension,1
general construction,1
category alg(t,1
"category alg(t’,v",1
like example,1
preordered set,1
powerset monad,1
unified presentation,1
suitable tool,1
global problem,1
similar theorem,1
homotopy groupoid,1
integral part,1
detailed discussion,1
key result,1
iterative theory,1
elegant formulation,1
symmetric counterpart,1
t- category,1
cartesian monad,1
suitable generalization,1
span omega,1
essential associativity,1
canonical pullback,1
free monoid monad,1
monoid monad,1
classical distributive law,1
free semigroup monad,1
free semigroup,1
semigroup monad,1
intrinsic interest,1
original polycategorie,1
cartesian monad,1
physical trace,1
key fact,1
compact closed category,1
bipartite projector,1
inner product,1
key property,1
elegant characterization,1
Yanking axiom,1
bipartite projector,1
related universal property,1
sinister morphism,1
sinister transformation,1
oplax morphism,1
extra property,1
oplax morphism,1
cubical omega,1
pasting theory,1
thin structure,1
semantic machine code,1
semantic machine,1
machine code,1
simple primitive,1
name paradigm,1
operational semantic,1
stack machine,1
term judgement,1
stack term,1
simple categorical semantic,1
coherence requirement,1
opGrothendieck construction,1
basic structure,1
type constructor,1
countable coproduct,1
countable product,1
wide range,1
erratic choice,1
possible world,1
bracketing condition,1
strong monad,1
Kleisli part,1
value adjunction,1
same map,1
equational characterization,1
absolute homology,1
familiar definition,1
such thing,1
convenient setting,1
generalized monotone,1
reflexive relation,1
full subcategory mono(f_n,1
subcategory mono(f_n,1
unit morphism,1
regular Mal’cev category,1
commutative semiprime ring,1
dense subspace,1
full ring,1
commutative separable algebra,1
semantic functor,1
fundamental category,1
directed structure,1
ordered topological space,1
appropriate notion,1
ordinary equivalence,1
future equivalence,1
symmetric version,1
full coreflective subcategory,1
intuitionistic set theory,1
intuitionistic set,1
sheaf model,1
natural notion,1
class theory,1
equivalent notion,1
mild condition,1
regular epimorphism topology,1
epimorphism topology,1
equivalent homotopy category,1
equivalent homotopy,1
homology isomorphism,1
trivial topology,1
strong equivalence,1
internal functor,1
homotopy lifting property,1
homotopy lifting,1
homotopy extension property,1
homotopy extension,1
extension property,1
free one,1
interesting example,1
factorization monad,1
elementary case,1
equivalent condition,1
boolean case,1
certain preservation property,1
certain preservation,1
different approach,1
extreme sort,1
set theory bcst,1
theory bcst,1
certain structure,1
basic category,1
aforementioned set theory,1
aforementioned set,1
copower object,1
enough categorical structure,1
new definition,1
copower object,1
occurring such notion,1
standard notion,1
new information,1
classical notion,1
amorphous set,1
infinite set,1
infinite set,1
similar notion,1
potency object,1
Burnside rig,1
interesting application,1
new generalization,1
rudimentary Feynman diagram,1
complex number,1
stuff operator,1
circle group,1
special role,1
time evolution,1
combinatorial setting,1
usual Feynman rule,1
Feynman rule,1
permutation representation,1
category theorist,1
categorical explanation,1
geometrical notion,1
coarse graining,1
geometrical framework,1
gauge theory,1
first answer,1
transition function,1
connection form,1
curvature form,1
nice description,1
suitable way,1
nonflat connection,1
flat connection,1
Singer theorem,1
discrete category,1
free category c.,1
category c.,1
ordered topological space,1
trivial problem,1
relevant information,1
surjective model,1
additive equational category,1
symmetric monoidal structure,1
good notion,1
chu category,1
certain prominent monad,1
prominent monad,1
basic framework,1
globular set,1
free operad,1
contraction monad,1
paper equivalence,1
multitopic category,1
fold equivalence,1
inner derivation,1
exact sequence,1
upper semi,1
recent study,1
restriction homomorphism,1
free action,1
minimal pre,1
simple example,1
explicit detail,1
algebraic version,1
homotopy groupoid,1
universal oplax morphism,1
universal oplax,1
universal normal oplax,1
normal oplax morphism,1
normal oplax,1
free adjoint construction,1
free adjoint,1
adjoint construction,1
object part,1
representable identity,1
second case,1
general goal,1
cyclic part,1
Stone space,1
clopen subset,1
previous TAC paper,1
related spectrum,1
minimal subflow,1
rational conformal field,1
TFT construction,1
relative modular group,1
modular group,1
boundary factorisation constraint,1
boundary factorisation,1
factorisation constraint,1
unoriented surface,1
latter case,1
cross cap constraint,1
cross cap,1
cap constraint,1
free stable semilattice,1
stable semilattice fibration,1
stable semilattice,1
semilattice fibration,1
such fibration,1
unitary restriction category,1
unitary restriction,1
certain adjunction,1
abstract class,1
arbitrary orthomodular lattice,1
orthomodular lattice,1
orthomodular sublattice,1
extra condition,1
quantic quantifier,1
orthomodular lattice,1
closedness property,1
internal relation,1
unified approach,1
Mal’tsev variety,1
lax slice,1
specialization order,1
lax slice,1
complete Alexandrov space,1
Alexandrov space b.,1
Alexandrov space,1
space b.,1
free a_∞-category fq,1
free a_∞-category,1
a_∞-category fq,1
restriction a_∞-functor a_∞(fq,1
restriction a_∞-functor,1
a_∞-functor a_∞(fq,1
last a_∞-category,1
cubical face operation,1
cubical face,1
face operation,1
distinguished subclass,1
certain thin filler,1
cubical nerve functor,1
thin filler,1
chain homotopie,1
arbitrary adjunction,1
effective descent type,1
descent type,1
several situation,1
exponential functor,1
semisimple ring,1
final application,1
noncommutative ring,1
important result,1
commutative unital ring,1
unital ring,1
pure monomorphism,1
style interpretation,1
order classical affine,1
classical affine logic,1
classical affine,1
affine logic,1
free logic,1
order formula,1
propositional part,1
same construction,1
dialectica category gc,1
dialectica category,1
category gc,1
order setting,1
translation result,1
negation translation,1
generic construction,1
monoidal closed basis,1
closed basis,1
interesting open problem,1
cyclic counterpart,1
new object,1
base bicategory,1
single hom,1
linear path,1
same length,1
bipartite state transition,1
bipartite state,1
state transition system,1
state transition,1
basic game,1
categorical product,1
important area,1
common meeting point,1
common meeting,1
meeting point,1
disciplinary connection,1
other result,1
information system,1
formal concept,1
finite Chu space,1
Chu space,1
entailment relation,1
association rule,1
approximable concept,1
approximable concept,1
Scott domain,1
top element,1
stepping stone,1
formal context,1
complete algebraic lattice,1
Scott continuous function,1
approximable mapping,1
intriguing variation,1
calculus formulation,1
natural deduction system,1
deduction system,1
term assignment system,1
term assignment,1
assignment system,1
strict sense,1
identity arrow,1
historical background,1
Chu category,1
Segal condition,1
nice monad,1
cocomplete category,1
braided analogue,1
tannakian category,1
tannakian subcategory,1
such quotient category,1
universal monoidal category,1
cosemigroup structure,1
dimensional separable algebra,1
separable algebra condition,1
algebra condition,1
various algebraic invariant,1
algebraic invariant,1
standard tool,1
co)homology functor,1
previous theory,1
cohomotopy functor,1
quantum field theory,1
homotopy functor,1
second paper,1
abstract category,1
third article,1
cubical topological cospan,1
collared version,1
additive model category,1
additive model,1
model enrichment,1
symmetric spectrum,1
simplicial abelian group,1
endomorphism ring object,1
endomorphism ring,1
useful property,1
endomorphism ring,1
adjoint module,1
symmetric monoidal model,1
such monad morphism,1
such monad,1
definability theorem,1
dense monad morphism,1
dense monad,1
monad morphism,1
epimorphic property,1
regular operad,1
such action,1
Hopf algebra structure,1
algebra structure,1
planar rooted tree,1
rooted tree,1
quadratic regular operad,1
regular operad,1
product operad,1
factor operad,1
operadic sense,1
weak cubical category,1
cubical category,1
formal cospan,1
cubical set,1
weak sense,1
suitable comparison,1
symmetric cubical structure,1
cubical structure,1
transposition symmetry,1
strong simplification,1
subsequent paper,1
multiple category,1
different sort,1
countable family,1
present example,1
symmetric cubical case,1
cubical case,1
topological application,1
definition composition,1
contractible operad,1
category ncob,1
general manifold,1
general dimension,1
bundle gerbe module,1
unoriented closed surface,1
second factor,1
Michael covering,1
definable dominance domain,1
definable dominance,1
dominance domain,1
positive answer,1
extensive topos doctrine,1
extensive topos,1
topos doctrine,1
same place,1
binary operation,1
abstract core algebra,1
core algebra,1
new technique,1
quotient monad,1
product monad,1
sequel paper,1
monad approximation,1
mistaken version,1
finite coproduct completion,1
coproduct completion,1
distinguished morphism,1
function space top(m,1
function space,1
space top(m,1
ordered bicategorie,1
general bicategorie,1
unique strict solution,1
strict solution,1
iterative algebra,1
dual unit,1
semi)normed space,1
closed unit ball,1
closed unit,1
unit ball functor,1
unit ball,1
Jagadeesan game,1
polarized notion,1
player game,1
close connection,1
considerable detail,1
different notion,1
adjoint connection,1
internal suplattice,1
KZ doctrine,1
ordered sheaf,1
complement operator,1
spatial background,1
classical analysis,1
modern theory,1
continuum physics,1
partial invariant,1
cohomology ring,1
various level,1
axiomatic study,1
following aspect,1
cohesive background,1
quality type,1
extensive quality,1
intensive quality,1
condensed aspect,1
canonical quality form,1
canonical quality,1
quality form,1
atomic number,1
sufficient cohesion,1
Grothendieck condition,1
weak generation,1
quotient topos,1
further work,1
dynamical law,1
constitutive relation,1
other mathematical structure,1
cohesive category,1
many bicategorical notion,1
bicategorical notion,1
ring homomorphism,1
base change functor,1
change functor,1
complicated coherence problem,1
complicated coherence,1
coherence problem,1
categorical fibration,1
attendant notion,1
usual bicategorical one,1
bicategorical one,1
monoidal fibration,1
long cohomology,1
dual definition,1
homotopy slice top//b,1
homotopy slice,1
slice top//b,1
slice cat//b,1
Frobenius operation,1
finite space,1
extended algebraic geometry,1
birkhoffian inclusion,1
affine space,1
function algebra,1
tropical geometry,1
dimension rig,1
separable prextensive category,1
prextensive category,1
same set,1
classical sense,1
coalgebra object,1
small colimit,1
certain situation,1
explicit construction,1
zeroary operation,1
zeroary operation,1
opulent structure,1
universal morphism,1
further investigation,1
autonomous structure,1
linear distributive structure,1
distributive structure,1
linear functor,1
basic category theory,1
same discrete object,1
simple reciprocal stability,1
reciprocal stability law,1
reciprocal stability,1
stability law,1
initial functor,1
right adjunctible map,1
dense map,1
arrow interval,1
several classical property,1
underlying category,1
basic tool,1
abstract closed interval,1
closed interval,1
certain equational structure,1
equational structure,1
theoretic notion,1
domain theoretic model,1
parametric polymorphism,1
recursive domain equation,1
recursive domain,1
domain equation,1
future paper,1
many different model,1
different model,1
set theoretic model,1
syntactic model,1
reflexive domain,1
fundamental pushout topos,1
fundamental pushout,1
pushout topos,1
covering fundamental groupoid,1
local connectedness assumption,1
connectedness assumption,1
Galois topos,1
discrete progroupoid,1
intrinsic Galois theory,1
branched covering,1
dimensional locale,1
old theorem,1
weak double category,1
absolute Kan extension,1
orthogonal adjunction,1
pointwise case,1
internal comma object,1
internal comma,1
comma object,1
arbitrary double category,1
pseudodistributive law,1
fibre grd_x,1
split epimorphism,1
classification table,1
pointed additive category,1
affine category,1
Baer sum,1
fibre grd_x,1
grd_x e.,1
left adjoint arrow,1
adjoint arrow,1
comonoid homomorphism,1
dimensional topological space,1
surjective fibration,1
identity map,1
ordinary Mal’tsev operation,1
functor category set,1
suitable condition,1
approximate Mal’tsev co,1
Mal’tsev co,1
identity morphism,1
topological structure,1
topological theory,1
several semantic domain,1
accessible set,1
familial representability,1
weak wide pullback,1
wide pullback,1
hom -functor,1
recent investigation,1
relational algebra,1
essential use,1
monad functor,1
category rel(v,1
unital quantale,1
such lax extension,1
unifying light,1
symptomatic situation,1
distinct monad,1
isomorphic category,1
internal reflexive graph,1
reflexive graph,1
multiplicative graph structure,1
graph structure,1
simplified characterization,1
2affine object,1
target object,1
point set,1
2affine set,1
sided action,1
equipped endomodule,1
monoidal centre,1
category tamb_s(a,1
lax centre,1
localization d_sa,1
Tambara module,1
unary universal algebra,1
many object,1
algebraic system,1
unary relation,1
reflective regular subcategory,1
regular subcategory,1
epireflective protolocalisation,1
different perspective,1
coalgebra modality,1
differential combinator,1
differentiable map,1
linear notion,1
intuitive relationship,1
familiar notion,1
primary example,1
euclidean space,1
cartesian differential operator,1
natural assumption,1
term calculus,1
same language,1
variable calculus,1
many monad,1
combinatorial flavor,1
object a_0,1
globular decomposition,1
